dataset,vocab_size,embedding,net,hidden_size,num_layers,dropout,bidirectional,attention,type,epoch,time,speed,loss_mean,loss_std,precision,recall,f1-score,accuracy
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,test,1,19.169663667678833,20.396810647191934,0.25902181701815646,0.09000899527051148,0.8947006927986312,0.89456,0.8945506030246178,0.89456
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,train,2,30.047478675842285,13.012739079314434,0.2444426417541321,0.07276774650617238,0.9003233204417491,0.90032,0.9003197933031234,0.90032
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,test,2,18.07764172554016,21.628927375388447,0.25137667365543676,0.11289306885164337,0.8994845331023276,0.898,0.8979051507813924,0.898
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,train,3,31.673799991607666,12.344587643528717,0.20682341182399588,0.06687432190314838,0.9189602681345717,0.91896,0.9189599870335978,0.91896
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,test,3,18.178383350372314,21.509063400403637,0.23792695254087448,0.09358921190445155,0.901639550295918,0.90128,0.901257901360337,0.90128
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,train,4,32.70542907714844,11.95520166017926,0.16568254784245015,0.059184108307575506,0.936760472400127,0.93676,0.9367599828998995,0.93676
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,test,4,18.93291187286377,20.65186816616486,0.24482274997760267,0.10083583402595388,0.9029743428196776,0.9028,0.9027894857107744,0.9028
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,train,5,31.953275203704834,12.236617295327065,0.0975417396520524,0.05168224328215305,0.9679207666413842,0.96792,0.9679199868600266,0.96792
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,test,5,18.76977849006653,20.8313593155576,0.2667881944133421,0.12439809893401506,0.9049726999438702,0.90496,0.9049592548805583,0.90496
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,train,6,31.206159591674805,12.529577657620875,0.07954726354612032,0.046197919762455575,0.9753216092488403,0.97532,0.9753199791108305,0.97532
